IGS14     130000000W 52000000W 52 42000000N 78000000N 36   Mainland Canada      
  3  4    45.000000   233.000000    7.88    2.57   13.47    2.56    5.88    3.09
  3  5    46.000000   233.000000    6.31    2.50   12.68    2.49    6.20    2.98
  3  6    47.000000   233.000000    4.90    2.17   11.30    2.17    6.66    2.59
  3  7    48.000000   233.000000    2.33    1.64    7.97    1.64    6.43    1.98
  3  8    49.000000   233.000000   -1.53    0.66    1.95    0.66    5.51    0.96
  3  9    50.000000   233.000000   -8.47    0.23   -8.29    0.23    2.08    0.35
  3 10    51.000000   233.000000  -10.47    0.35  -14.97    0.34    2.29    0.63
  3 11    52.000000   233.000000  -11.44    0.74  -14.15    0.70    3.52    1.02
  3 12    53.000000   233.000000  -11.10    1.18  -14.27    1.09    4.36    1.37
  3 13    54.000000   233.000000  -11.85    1.23  -13.95    1.19    3.59    1.43
  3 14    55.000000   233.000000  -12.61    0.83  -13.73    0.66    2.88    1.00
  3 15    56.000000   233.000000  -12.67    1.60  -13.73    1.55    2.41    1.83
  3 16    57.000000   233.000000  -12.76    1.85  -14.01    1.82    2.20    2.08
  3 17    58.000000   233.000000  -13.05    1.80  -14.42    1.78    2.09    2.02
  3 18    59.000000   233.000000  -13.63    1.59  -14.69    1.58    1.82    1.85
  3 19    60.000000   233.000000  -14.56    1.39  -14.27    1.39    1.19    1.67
  3 20    61.000000   233.000000  -15.46    1.39  -13.17    1.40    0.50    1.69
  3 21    62.000000   233.000000  -15.69    1.60  -12.52    1.61    0.85    1.90
  3 22    63.000000   233.000000  -15.50    1.85  -12.47    1.83    1.76    2.06
  3 23    64.000000   233.000000  -15.23    2.13  -12.67    2.09    2.33    2.26
  3 24    65.000000   233.000000  -14.99    2.39  -12.94    2.32    2.42    2.40
  3 25    66.000000   233.000000  -14.79    2.53  -13.23    2.43    2.22    2.44
  3 26    67.000000   233.000000  -14.65    2.53  -13.51    2.42    1.88    2.39
  3 27    68.000000   233.000000  -14.56    2.42  -13.79    2.31    1.50    2.25
  3 28    69.000000   233.000000  -14.48    2.23  -14.08    2.13    1.15    2.11
  3 29    70.000000   233.000000  -14.42    1.91  -14.37    1.84    0.79    1.86
  3 30    71.000000   233.000000  -14.32    1.51  -14.66    1.46    0.42    1.55
